time,reward,position,bar_return,cost,strategy_ret,equity
2021-02-14 03:30:00+00:00,-0.004122590116739613,1,-0.004122590116739613,0.0,-0.004122590116739613,0.0006159041692857438
2021-02-14 04:00:00+00:00,0.0010114834364033263,1,0.0010114834364033263,0.0,0.0010114834364033263,0.0006165271461513879
2021-02-14 04:30:00+00:00,0.00499270633299961,1,0.00499270633299961,0.0,0.00499270633299961,0.0006196052851384441
2021-02-14 05:00:00+00:00,0.008819747114954904,1,0.008819747114954904,0.0,0.008819747114954904,0.0006250700470644547
2021-02-14 05:30:00+00:00,0.019981805537720592,1,0.019981805537720592,0.0,0.019981805537720592,0.0006375600751923504
2021-02-14 06:00:00+00:00,-0.0031245245883948472,0,-0.002424524588394847,0.0004,-0.0031245245883948472,0.000635568003060833
2021-02-14 06:30:00+00:00,-0.0,0,-0.001337006036604833,0.0,-0.0,0.000635568003060833
2021-02-14 07:00:00+00:00,-0.0,0,-8.164891418233846e-05,0.0,-0.0,0.000635568003060833
2021-02-14 07:30:00+00:00,-0.0,0,-0.0003309307854055909,0.0,-0.0,0.000635568003060833
2021-02-14 08:00:00+00:00,0.0,0,0.0013820369673338611,0.0,0.0,0.000635568003060833
2021-02-14 08:30:00+00:00,-0.0,0,-0.0016877586974396598,0.0,-0.0,0.000635568003060833
2021-02-14 09:00:00+00:00,-0.0007,1,0.003418793241739843,0.0004,-0.0007,0.0006351231054586904
2021-02-14 09:30:00+00:00,0.004571018706254814,0,0.005271018706254814,0.0004,0.004571018706254814,0.0006380262650545167
2021-02-14 10:00:00+00:00,0.0,0,0.0025802733038183044,0.0,0.0,0.0006380262650545167
2021-02-14 10:30:00+00:00,-0.0,0,-0.004809067436767085,0.0,-0.0,0.0006380262650545167
2021-02-14 11:00:00+00:00,-0.0,0,-0.0018042106134907037,0.0,-0.0,0.0006380262650545167
2021-02-14 11:30:00+00:00,-0.0007,1,0.002439933496486035,0.0004,-0.0007,0.0006375796466689786
2021-02-14 12:00:00+00:00,0.006219121495067888,1,0.006219121495067888,0.0,0.006219121495067888,0.0006415448319543954
2021-02-14 12:30:00+00:00,0.0008522614962974781,0,0.001552261496297478,0.0004,0.0008522614962974781,0.0006420915959128189
2021-02-14 13:00:00+00:00,-0.0007,1,-0.0038580524733974448,0.0004,-0.0007,0.0006416421317956799
2021-02-14 13:30:00+00:00,-0.009878948863595983,1,-0.009878948863595983,0.0,-0.009878948863595983,0.0006353033819869417
2021-02-14 14:00:00+00:00,0.002754256297679145,-1,0.004154256297679145,0.0008,0.002754256297679145,0.0006370531703277162
2021-02-14 14:30:00+00:00,0.0027830236760243965,1,-0.004183023676024396,0.0008,0.0027830236760243965,0.0006388261043836247
2021-02-14 15:00:00+00:00,-0.009975515501448137,1,-0.009975515501448137,0.0,-0.009975515501448137,0.0006324534846766161
2021-02-14 15:30:00+00:00,0.005597149427192316,1,0.005597149427192316,0.0,0.005597149427192316,0.0006359934213360995
2021-02-14 16:00:00+00:00,0.003502387045391192,1,0.003502387045391192,0.0,0.003502387045391192,0.0006382209164559411
2021-02-14 16:30:00+00:00,0.005367394370780012,0,0.006067394370780012,0.0004,0.005367394370780012,0.0006416464998102407
